uuid,tweet
6201f42d-35f9-4c78-adb7-97b59faf1bb2,Fuck a nigger with a nigger that fucks with dumb broke niggas #broke#niggers#stay#broke#don't#fuck#with#emm
530146b8-e83f-4dff-a856-182363a6a1dc,"US Man Baby President: “Nobody likes me” This is the narcissistic egomaniac idolized by every cop in America, the unchecked bullies tormenting American citizens. Vote like you want Middle school to finally be over with."
4eb92eb4-59aa-4a35-9551-f930120cce90,Killing innocent people is not what our army & the other armed forces are trained for... don't act like idiots because you have a gun...&amp; I feel this the primary reason there is terrorism on the rise in the region...you all are out to kill any Muslim...not right..!
b4164da0-efa5-41c1-84cb-5e2ca9bd53a4,"Very homophobic, said he would prefer his own son dead than gay. Told a representative that he wouldn't rape her because she was too ugly to deserve rape. Planned false flag attacks on military bases to increase funding to the military (but said it was a joke when found)."
bb01abe7-ae68-4ff6-aa33-e5816beeab18,"@ErummKhan Pakistani clowns cheering Chinese army who keep millions of muslims in concentration camps. you're really idiots, guys."
61918242-4cf2-4044-8fd8-01629a19d20a,"Because they like killing, by taking inspiration from that Quran, so if not others, then Muslims..well they like to kill yazidis, n make Yazidi girls as sex slaves..n there r many terrorists in Pakistan also, who don't belong to ISIS may be, how? e.g., Hafiz Saeed"
6e3b2a84-d41f-4de0-8801-0a06d56b7e07,"Racism in this country is what's driving us all nuts. Aged, young, colored, etc. doesn't matter. U just don't embrace his progressive agenda on Medicare For All, depleting PAC system, etc. Get onboard 100% with us, and you'll be a winner, too. :)"
d479635e-653a-470f-9ed3-9e3a38f17ed5,"RT @jimanish: #BlameOneNotAll is just a rehash of #NotAllMen, right?"
fbd69be7-5a4a-4216-8dc0-f4041af7300c,"@cypheroftyr no, thankfully. otherwise the licensing fee would make them cost more. :) http://t.co/UV9rmaJ0E9"
0bae05a8-33ad-4d6b-9215-92f70bf82306,"RIP RT @HeartBreak_Zayy: Beyond ignorant to say. RT @tayyoung_: FUCK OBAMA, dumb ass nigger"
62cd1f9f-e4d4-4b2d-97ae-337bc9a36ef4,"Dying my hair. In a school where your only expression is through your hair and accessories, they sure did bully you into thinking you were grown for wanting pink hair....if anything I’d look more like the loli my friends thought I was"
57d3949e-0157-4ace-954c-809caf0dc6ff,"I don't know you or your daughter, but as a mother of a daughter who has been bullied 3 times by 3 different girls, this is excellent news! I hope you daughter can now go to school with her head held high and not live in fear of someone hurting her."
672729c5-4c91-4ed1-98eb-2d8740d25ef9,FUCK YOU DUMB NIGGERS TAKE WHY YOU FUCKS TAKE AWAY 360 PLAYOFFS YOU CUNTS
f59e85b8-c967-4985-a022-07bb3959a822,"we’re a public school, we’re a public school, we’re a public school my 6th grade history & math teacher bullied me in front of the class often &amp; she dumped a water bottle on my head in front of them. called a girl the n word &amp; is now a high ranking official at another school."
6a05e7dd-c5b3-4c41-9f31-3117ec6836bb,I will not be using killer blondes as a hash tag! #MKR
2980069e-917f-4497-ba74-97a4128772d6,"Have you heard about White Supremacists, Ku Klux Klan and other Christian radical groups with millions of support base? So how is Islam alone singled out for radicalization?"
19d33699-9d84-4d19-b0e7-a82141e71df1,"Do you have any answer , Why bullet fired on you ? Islamic terrorism is reality as soon as u realize as sooner you find answer. Nahi toh USA mai Pakistani doctor arrest hoge, England mai train blast karte miloge Rest of world se ummid n rakho"
bffccc26-daeb-457c-8c21-884d4f70b52a,@discerningmumin Killing people because they believe differently than you and express that is not an excuse for murder except among Muslims.
f19e5d02-4d81-461f-b967-ef31da2e893c,"not sis dming me on ig from a burner talkin abt ""shut up on twitter"" sksksksksksj baby, you might've been able to bully the girls in high school but we're grown LMFAO pack it up regina george"
f36a1823-3090-4891-ab13-edb9591d006d,"I don't need to talk to you. When I talk about bullies in high school, I am not trying to make an analogy on Amaury.. ""projecting""? Let it be, there is no solution talking to you, I learned that long long time ago."
fca4e5ee-776f-4c87-a084-3407706121b2,"Yes Miley, because a date rape joke is the best way to advocate gay people. I should knock you out."
e2a80e0b-1672-4f5a-9c22-c1a8304bd004,@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I dont have to live there to know you can't leave house without male relative
ecefa3ab-e11a-40c4-8b60-3966b1505d7b,Trump said he would throw the first pitch at Yankees Stadium. They did not invite him. He’s also crying bc apparently Twitter’s trending metrics bully him. It’s like he’s in middle school.
e5c0ec73-b2a0-4beb-9fc4-33b4311e42bf,LOL! Someone on Twitter posted a while back that they don’t care to see pics of their high school bully’s vacation!
5e55856a-af8e-43e9-8ab8-e0e1783d0f1b,I can’t believe I used to let girls bully me in high school that have their instagram bio saying “sunshine with a little mix of hurricane”
9861c00a-bb75-4d75-b823-08e8b2a450fb,YOU LET THE GOD DAMN PLANES OVER HERE YOU DUMB NIGGER FUCK. So much for presidency. #doyourjob
d6cdbd48-f2f6-4cb3-b416-d333302d8014,@BEYONDGAWJUS lol...cyber bullying rotflmao #guhyoucrazy
6252dff2-3923-4219-acde-6a5dfec0f65c,@b_bquiet 2 ugly fucks sitting in a row except one is a dumb nigger lol
3fb021f3-3d9d-4751-b2fc-ecdb4ebd03f9,I take a nap and LGBT can't play video games anymore wtf
437921f1-516b-4200-b000-96fec3b747ae,"My Top 3 Weekly #lastfm artists: Sonic Mayhem (1) &amp; Velvet Revolver (1) http://bit.ly/eGKpg3 Well, that and Gay Jokes Man making shitty rape"
007c57b4-6793-473a-861f-fa19c737a86d,I was waiting for the colored or those people are human. It's just hilarious how people try to explain away racism. It's amazing I've never heard a black person say white people are HUMAN too. I'm still laughing. She sounds ludicrous. No Sweetie. You made your bed. No college 4 u
0f9f859c-c9a1-4370-a73b-732bc8a2243e,Oh it is easy to condemn fellow hindu citizen to nail the hypocracy but don't have an iota of courage to condemn the islamic terrorism. And that's the whole business the bunty bublly doing in media. This is the weakness of democracy u r exploiting to fullest bitch.
46976529-c4b3-4b8c-905d-3ad059d95cc3,"- to see grooming gangs or issues such as radical elements of none Christian religions addressed, they would be accused of racism... And then people won't associate and go out and support those parties because they are afraid of also being labelled as such. This is why the -"
00e38b98-a285-42f2-b9ea-253d8545d6e2,Nah wtf address the fact that Muslims are being oppressed by Hindus you can't just dodge it by saying Muslims are playing the victim card. You're ignoring the FACT that Muslims are being killed for their religious beliefs. Muslims are being killed idiot there is video evidence.
45774eee-ca1c-4c8c-b641-12972262a5c1,taemin’s bullies in middle school @taemin
9a7bcce4-4a4c-452e-8801-2f48c0e83da1,"Another day where the weather is supposed to get up to the mid 70's. I need to find my sunscreen. So, uh, how's that snow out east?"
1e206d43-c38c-4733-81b0-df56b9d8f031,"Sorry about all the RTs, but this is a really serious issue. This guy is basically the tech anti-feminist that thinks he's an ally."
9e3995a1-b062-4bf9-a515-fe3152cffbb1,"Fight RT ""@AYEE_CALEB: So you mad?? “@tayyoung_: FUCK OBAMA, dumb ass nigger”"""
8aef596d-1d83-4056-8c6e-b0169795be3b,Made some good friends though through those years. (And I think that girl hates my guts... she never looked at me again years later in high school... still facebook friends though) But yeah not bullied much ever since. Just gotta deal with some hardasses at work and that's that.
f0237826-fff1-4220-8d49-36c86fac6bd7,this is why asaf is letting ME in the fake scenario and none of YOU guys. y’all are BULLIES. high school BULLIES
1619f147-7ad6-4e87-8309-ee5584188ddb,"@lynnsanity_: She can get ran over too. RT @_LoveVuitton: Bitch Get SHOT RT @tayyoung_: FUCK OBAMA, dumb ass nigger"
a34ff724-081a-4b7a-bf4a-44334f886b9c,I don’t make rape jokes cuz that’s NOT okay I don’t tell jokes about gay people cuz I don’t want to
62e92001-0764-4106-b605-420896c6ef13,dumb ass niggers with Jesus pieces. HILARIOUS.. fuck Jesus.
8d6dcb62-ff39-4e6c-9813-795b7cba5a5d,"Christian, really, 8 links to support all the points you were trying to discredit...wind is over, solar is over and now your Ilk wants to burn all the trees (Bio Mass) to save the trees...their is a certain kind of Crazy in people like you...Radical Environmentalism is Dead!"
a1ee0709-bcd4-4157-b1a7-a2a1d39e02ba,"@DavidVonderhaar GO FUCK YOURSELF!!! you dumb fucking nigger i fucking hate you, just you wait bitch just you wait ill get you fat fuck"
81bbc7d9-b166-4401-a142-11f45b28a1a0,@navikakumar Instead of passing judgments be a jpurnalist asking questions. Here is something u need to investigate? Y is every web series have a Brahmin as a villain ? eg:Article15 twisted story where no Brahmins were involved. #pataallok-brahmin is bad!islamic terrorism good
d759a8ec-28af-4f98-ae22-7c31f2fa14c3,"Just had a customer who used to bully me in high school come in and she looks ROUGH. Basically, don’t be a bully kids"
0502c469-f921-47cc-a814-6c56a6baae31,"@jncatron No, idiot, Zionism is the determination of Jews to recover a small fraction of the land stolen from them by Muslims."
1ef6c148-4902-4bb7-995e-4177e7eb2a09,"I’m a Black woman. Same, future. There’s no point of the past if I can’t change anything."
7b6d39ee-3d86-46a4-9ec3-47bbf19ec259,RT @noisykafir: Please draw mohammed! Just a smiley face will do but draw it and post it. #IAmCharlieHebdo http://t.co/QIOVZyNxdJ
753b11fb-7f50-4349-82df-d52fc5356782,@CompoundMixture @CruisingBye @SuperiorMenArmy Are you delusional?  Islam is one of the most violent and barbaric. http://t.co/3uh4RhYbs1
b949faca-5e13-421b-a62b-ead578314131,"Oof and it seems to her you can't say you're grateful to a certain school unless you get good grades put it this way, you cant be grateful of your mom because you've wronged her at times? I cant stand bullies hiding behind a ""woke"" persona."
5d9ea8b7-d8d5-4696-9a65-2aea9557b443,WTF?? See this is EXACTLY WHAT I MEAN...I TWEETED 2 YRS AGO ON HERE...PRESIDENT EVERYONE. STILL! DIDNT FN LISTEN. YOU IDIOT'S THOSE ARE OUR F 35S OUR TECH..YOU DONT BUILD THEM IN A FN MUSLIM COUNTRY..THATS AN ENEMY... TURKEY WILL GIVE ALL OF OUR TECH TO PUTIN...INSANITY!!!
5670baec-723b-4145-90f8-db26cfde6fde,im not tryna be mean but some artists really be drawing gyro and johnny like the white girls that bullied me in high school
3ff13717-453a-4a6c-8d6d-62b5bbdcbe15,GAY ISNT AN INSULT RAPE ISNT A JOKE FEMINISM ISNT SAYING WOMEN ARE BETTER THAN MEN MENTAL HEALTH IS JUST AS IMPORTANT AS PHYSICALLY HEALTH
bba7be02-0608-4b44-8001-5285cd9605e0,ALL YOU DUMB NIGGERS DIE I HAGE ALL OF YOU KILL YOUR SELF NB JM DONE SHUT THE FUCK UP WHORE SND J CAN'T
475bdf20-d07c-4643-90f5-11f0dff5bbef,"“@thugdawg66 RT @tayyoung_: FUCK OBAMA, dumb ass nigger” pic.twitter.com/VYtd6I2p"
c2b6f6a9-fe82-47ed-9612-fc867e4e83d8,Talk about your People you sorry ass dumb-ass Nigger bitch. Leave My Peo0le the fuck alone! You dumb black Fuck!
c3c59d09-59f0-466c-b7f5-5431735a4ef2,"@MiraPrivate Omg! I can't fucking spell! Muckbang, also, play overwatch"
abcf131d-01b0-4167-9103-f4acd79c6381,"Damn you’re ignorant as hell and ugly AF smh …tell Em why you mad lol “@tayyoung_: FUCK OBAMA, dumb ass nigger”"
80845a09-b115-4730-9f1c-ee492c2fbc5e,"@asem_1994 And I know that Umar imposed the code of Umar, making Jews and Christians third class citizens for centuries."
43d355b6-bf73-4397-a68c-195feaf8560e,"calls a weak man ""gay"" jokes about rape #TheLeaderIWant"
11d88792-6f42-4d51-bce5-ad0c13ffb9cf,fuck you going nigger? RT @Frico_LiVaRachi: I'm gon miss this dumb twitter shit
c4cff87b-6570-49f0-8e58-b81c72444d3b,RT @vanityfairmag: Tea Party Spokesman Says NAACP Has No Right to Lecture About Racism http://is.gd/drHr6 Take that u colored! :o
73d3995d-6fee-49b9-8966-a309355cc447,"I haven't done anything bad!:p @isabelmariee, karma will hunt YOU, for been a bully"
e3014b07-8e63-41a5-bbbc-9424028836c3,"in the philippines we have, a president who makes rape jokes and considers being gay a disease, xenophobic &amp; racist people everywhere, whatever u wear u'll be catcalled and the blame is on you, oh and scammers too!"
b92560d6-186f-4a5f-b94b-ebc333014034,@ICONicHavanaL yeah it sux i hate it then ppl bully me cuz of it seriously theres no reason for that
4258d352-6285-466e-beae-9c85782cec87,"I prefer my racism belligerent and out right ,like when old people call u colored in 2017 that's truth I don't like to be played with"
8b26844e-233c-483c-98c9-8169cbfbf15b,Hope one of those bitches falls over and breaks her leg  #MKR
a0d1f24b-fe80-4621-946e-f2918331efb6,"@KiblersBits I specifically seek guilds/groups who don’t make rape jokes, or gay/fag == bad/terrible/stupid jokes. Or women == stupid/bad/"
049eefed-7478-4690-84f3-bd5e8b9be7ba,These little niggers on beyond scared straight look like dumb fucks trying to fight 30 year old men when their 14. #dumbass
e33535cc-eae3-4be9-a1a5-2f5295d3625b,"Go do one what.. be clear, you sound like an idiot. If Muslims are seen as losers, it's because there's infighting among themselves (but fanatically united by faith, as anybody opposing them usually find) and the 'West' is busy encouraging that for finance gain."
d6e4717a-fc11-467b-83c7-4fd5d29975ee,"Wooooow some dude just drove passed me an yelled ""Dumb Nigger!"" out his window... I hope I fuck his daughter tonight downtown #ThatsBing"
79dcc497-0cb1-41f6-81a3-656a7bfcd468,"HE'S A DAMN MUSLIM! WHAT DO YOU EXPECT! STUPID ENGLISH LET THE ARABS &amp; MUSLIMS BUY UP LONDON ASSETS, LET THE MIGRANT HOARDE COME IN AND NOW THEY CAN'T POLICE THEM, OR CONTROL, AND LET KHAN DESTROY EVERYTHING THAT WAS BRITISH! IDIOTS &amp; SOCIALISTS DESTROY ENGLAND!"
54fb1de8-82ee-4a4f-a8d2-482eddc9657a,Kuch bhi ho Palghar Lynching bahut horrific thi. Mene support bhi kiya tha kyu ki Radical Christian missionaries+Naxalites ki dain thi bo Usse pahle Jharkhand main bhi aise hi association ne sadhu ki mara tha..
c320debf-ae4f-44ad-886d-e37ff37e381c,@girlziplocked @ameliagreenhall i have been raging at him for uh... 5 months? i think? ever since innovating women.
36ac65da-d419-4595-9a75-1302107ad64d,“No one at this school should pick on any class of people. It’s like watching magicians bully jugglers.”- Jeff Winger #community #sixseasonsandamovie
6db69e07-6a03-4c19-aa2f-6ead19218ad3,she looks like she was part of that group of white girls who bullied everyone in middle-high school
b5f5a89b-84a2-4eae-babe-adfa787955d2,@bkerensa I love it
574081a3-b10f-4ff6-a0d1-cff17c42abd6,"They trippin over Jaimee Foxx bein called a nigger on #Django its a movie takin place in slave times low key, fuck you expect smh dumb stuff"
a0e033c5-8eb2-4f12-b056-cc5e058fa304,"Today on Things I Randomly Remembered: this girl who was in my social circle in early undergrad started dating this guy who bullied me in high school. He was, to use the language of the time, a ""total douche"". I told her he was trash, and she didn't listen."
73018131-adfe-4474-8775-6f1ffae8ecea,tw/aftg crossover fics are so like... get a job stay away from andreil ugly ass mfs
b0107ab9-e931-4362-83ab-164e533e0a38,"@kittoms Social Justice Warrior AKA the liberals/feminists who are so ""tolerant"" they tolerate nothing &amp; want to impose their views on world"
924b0720-3b77-4c22-ba32-434d79c06e88,@_sara22_ @Number10gov Muslim terrorist execute people daily. But when rare response happens to that provocation they fake being the victims
1bf3c9f7-8407-4ee4-98ec-55be69a04302,One day only! $5 for your first month Come simp ur big titty goth gf at https://onlyfans.com/devynndesirae! #onlyfans #onlyfanslink #onlyfanspromo
cfb80e80-d592-476e-9c3d-edafe2bacf85,where were arya and sansa i fucking hate d&amp;d and i hate this mfing show
79a3dcd2-a781-4e10-ae9c-88c385fb24eb,RT @catesish: BRO  3 JUST CALLED ME A BITCH AS THEY WALKED AWAY YESSSS FUCKBOY PAIN YESSSSSS
80aaf18e-1803-40d2-9c90-d5be934bdbb0,@UmarFarooq_ ROFL.  No one with a brain will want a madrassa education.  Will they teach Mohammed's remedies? http://t.co/dxJ6oEj19B
b1d4b9f4-4998-4933-a33a-ce4680bff5fc,Now imagine what would happen to you if that Muslim controlled got a hold of you. Idiot Trump is trying to keep them and sharia law out of here
b2337a69-757d-4e05-a626-73d81da0c778,A classic! @RyanWHuck For those that care I love women im not sexist. I make jokes. Sorry.
7c4e35cf-7c8f-467e-b517-585cce817b07,"Woman Bullies Bagger With Special Needs, ‘Lady In Red’ Confronts Her https://taphaps.com/bullies-bagger-with-special-needs-1/ #Social #DownSyndrome #School"
fac90b07-ec98-4bc2-8104-e70f51b975a8,The girls that bullied me in high school but now we close cause I’m flaming homosexual.
8286bf97-f87d-4d2b-81f1-8d5f92a826c0,@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI &lt;bitch want likes for some depressing shit..foh
dd6c3c59-c957-40cf-ba21-4d01101c2085,"@bmackillopthio But, Trump gets called a megalomaniac.  Is that a gendered slur, too?  I never hear women called megalomaniacs."
ec005b0e-8e58-47b0-9393-d5347ebf9aee,@marlputri don't challenge my sense of humanity. It is a widely known fact that Hamas and Islamic jihad terrorists funded by Qatar and Iran
c55ef269-1b54-4ac6-b4e5-2f62153e0fdd,"“Only God can judge the heart” is an excuse for Christians to support people doing clearly evil things. We were told to judge them by their fruit, were we not?"
69b1b614-21fd-41ca-90f3-6ce93afe70dc,"@teddyboylocsin @tweetybird2009 @PatVPeters ISIS practices slavery and rape, Mohamed practiced slavery and rape."
2015cd77-4857-4f13-8158-b46868ed540c,"oh nono i didnt mean it that way!! i think my mom was concerned bc they support planned parenthood which goes against christian beliefs. she doesnt think blacks are bad, not at all! but i think she said the glo//bal network for blm was radical bc it promoted marxism?? (1/2)"
25e1052b-42a0-4c30-9061-764785d005f0,Why is it cool that girls are putting slits in their eyebrows now but when I did it in high school I got bullied
649170ec-8a53-4c86-9503-058092d5ea3c,What the fuk? you were speaking about J&K and bow you stand seems to be changed.And if you speak about jobs then you must need to know about our POPULATION 1st.Before everything you must think about the RADICAL ISLAMIC terrorism in POK which makes us to pay huge price on defence
993ec66d-4ae5-426d-a44b-6b0786932ee6,"True, but is one gay slur like Jeff made as bad as the bullying and rape jokes and attacks on an hg, like Kevin, already going home?"
240717e7-6e3b-4f54-be39-e684b9691fa1,hmmm..have to ask Was Kanye West PPP loan given by the trump administration to bribe Kanye to get on twitter and announce candidacy for President to try to persuade the Black vote because trump is losing I don't put anything past these grifting fuckers
5499451a-59b1-4501-8640-3658cf993432,RT @TheRealNimoy: Leonard Nimoy 1931-2015
6d7d136c-ce3f-4a5f-b8f0-a94f12bf2fee,RT @Ostrov_A: Another #Arab car ramming terror attack in #Jerusalem #Israel. Will #Obama Adm call this random traffic infringement? http://…
a1941f31-b432-4057-b95c-6294c4f10e33,"Not even in, say, school bathrooms and locker rooms? Bullies are ruthless and can cause real physical and psychological harm."
3bddb01e-f0ee-466f-b476-c8efe661f796,@Legacy_Turtle @PumasComp @Claw_sheesh Cause He's West Like Me Dumb Fuck Get Blocked Pussy Ass Nigger
589af93a-bf33-4323-b6d8-ff3b1788f9e5,"christiano ronaldo: men who have “No pain no gain “ in their instagram bio but always skip leg day, grab their male friends’ testicles as a “joke” but think being gay is unnatural, argue that rape is ok if the victim breathed next to the rapist bc consent is a grey area:"
7867ee86-c448-47ed-a2af-a1c167136ca3,@MrTheGeoff @athenahollow sure!
affb4a70-b369-487b-be81-a804ef3ac12b,"I got bullied in high school and college, had friends turn away from me when I really needed them, was in a manipulative relationship, and was sexually assaulted several times. I had a girl who I thought was a friend turn everyone I knew against me and even threaten to kill me 6/"
1b6554df-670c-4f87-b2b9-ae1200cfb02c,The Jewish Press » » New Gaza Tunnel Collapse Buries Alive Islamic Jihad Terrorists#auspol no loss to humanity http://www.jewishpress.com/news/breaking-news/new-gaza-tunnel-collapse-buries-alive-islamic-jihad-terrorists/2016/08/10/?pushcrew_powered
4e028b5e-fa4a-4e49-bf62-8cd4c490a2c7,"“@tayyoung_ FUCK OBAMA, dumb ass nigger” im glad u waana fukk a nigger, sad ho"
402fe093-a80c-4c96-a0ca-1cba62b00421,"A false profit that says the right things. But okay with children locked in cages, and some molested. A true Christian woman"
01c56dff-70e0-45a4-9ffc-9633b28ae879,"What an idiot!! It’s convenient to call Mexicans rapists but some are good people, Muslims terrorists but some are good people. But the minute you call white folks racist but some are good people, they are offended!"
c33769dd-bc9b-489b-89ee-ecadf018238e,All the girls that have ever bullied me in high school I name my cows after because we sell them off lol
5adbaeed-aa53-4690-9f65-aac1cce191d8,@yousufpoosuf @RKingLive2Dance @izrinhariri But the fact that Islam is a declaration of war means that Islam will always produce terrorists.
c9785f9c-dfc7-452c-a238-8b8ff911f5ff,whats up my stupide niggers you fucking niggers im better than you stupid hohos dumb batches so go fluke your selves you dumb sons of fluking retards stupids bitch ass dumb fucks
52ff40e0-ec8c-4568-88c2-3217ca2e40be,Death grips? Get the fuck out of my face with that kiddy shit what do I look like a dumb nigger or something? -Anthony Fantano
e3cd234a-4b2a-4c5a-a883-9c4b052de180,A woman on the internet just told me not to argue with her about InfoSec because her husband used to run a security firm. what.
7007ebea-b1f5-4f01-ac68-e052540ec652,"That girl on the left, was the girl who cried constantly cause she was bullied all throughout high school for being a “a scholar from a public school” or cause she didn’t speak english that well, yet she chose to grow from that experience. On the right is who she is now. 1/3"
0237125a-c119-43ad-ad86-f811a6de3550,"u ever sit in back of bus, drink out colored fountain, sit in colored waiting rm. I guess u lived racism. I really did."
be0d36fd-4251-4fa8-8ce0-d6361ece0a2d,@She_TheWolf Are you a feminist?
504fc2cb-0cd5-429e-9fac-3360f46aeaa6,"Sounds about right. I got bullied all through junior and some of high school, no one defended me and girls wouldn’t talk to me. That’s fine tho."
49b5646c-6150-4914-988b-b40c87cbb9e2,This is what happens when you ask idiots to speak on your behalf Tik Tok is Chinese Tik Tok is suspected (not without reason) of data theft What does this ban have to do with one being Muslim ? Never ask an idiot to use logic They usually fail &amp; badly Example below !
31005618-46ea-45a2-be05-3fefa50f4c6c,@TedYoho AOC made you look like a bum baby shitting it’s pants in your apology. Totally lackluster. Totally missing the bigger point. You have respect. Middle school bullies have better tactics than you.
0d826b3b-d32f-43e8-a6f2-41746b7a9f5e,"@Veeren_Jubbal that, and the thought that a significant other would be targeted."
9e0fa0b8-7911-4626-8ca0-b6939f0776c0,Rather amused at the uneducated criticism I'm hearing about from GamerGate. They think a nonprofit means I won't have to pay taxes.
3c62fc13-ef6e-43b9-ab11-d789aa0c74bb,Funny how so many girls are posting suicide awareness stuff on insta but they bullied tf out of people in high school
3703d2f4-4ed6-4fc7-8538-a6884998729c,RACISM is wen u select ur white clothes to wash 1st and save the black and colored ones for last
bcff8fa6-121b-4b6f-8594-e5f04801d7ed,You 2 dumb ugly fuck nigger name wayne &amp; ugly ass chris black brown positive positive your not red ugly ass wayne pic.twitter.com/Gco24jHrCN
0733a5c7-27b8-45f8-9625-a7f935e0f75b,@anjemchoudary Nobody cares what his honor means to you fools.  We have no obligation to honor the slave trader and caravan robber.
61c94f4b-75fd-4404-9a4e-e8cca8a83a0e,I was bullied in high school but go off girl lmao
ce658ef3-547d-470e-b30e-aa8037a76012,"@caprine no, just normal WoD expansion leveling. end of frostfire ridge quest chain for horde."
52963ba3-e64d-4dae-a62c-3d61a04ab4b4,"@tayyoung_: FUCK OBAMA, dumb ass nigger Girl Stfu Wit'cho Mad Ass ! You Are Very Ignorant Yo !"
