uuid,events
8d095b45-16de-405f-938b-cb78ba1bc81b,"[""score"", ""substitution"", ""sending-off"", ""sending-off"", ""sending-off"", ""substitution""]"
1b2b394b-fd44-471e-b312-bd586716c10f,"[""foul"", ""foul"", ""sending-off"", ""substitution""]"
b2e5ea7e-b5c5-402c-a2e1-c40f118e9500,"[""score"", ""sending-off"", ""foul"", ""score""]"
d185019b-19cf-47f3-8a6c-7e41ade3ed2e,"[""foul"", ""sending-off"", ""substitution"", ""sending-off""]"
e330f5b2-e540-47ce-9fe4-aba9035d9aa2,"[""sending-off"", ""score"", ""score"", ""sending-off"", ""score""]"
80d6a8e6-d199-475a-8e1a-583ee2181681,"[""substitution"", ""sending-off"", ""sending-off"", ""caution"", ""substitution"", ""caution""]"
70652e65-f40d-43fe-a1b2-762c0b67fda3,"[""substitution"", ""caution"", ""sending-off"", ""foul"", ""caution"", ""substitution""]"
3c589447-9f14-4c30-9b56-2aa21cc15d0f,"[""caution"", ""caution"", ""score"", ""foul"", ""substitution""]"
9a635905-f536-443a-9e07-8d2250ec4d75,"[""substitution"", ""sending-off"", ""substitution"", ""substitution""]"
459b8b26-6a6c-4a2f-a172-3872144620ac,"[""sending-off"", ""sending-off"", ""caution""]"
35c8daf7-bec9-47a2-91f8-1216e1139cc4,"[""sending-off"", ""foul"", ""substitution"", ""sending-off"", ""sending-off"", ""score""]"
851d4a85-06da-4aa0-bc01-78e024c83d7e,"[""score"", ""sending-off"", ""sending-off""]"
8b048447-b975-4cb5-8135-ffc11d44921b,"[""caution"", ""caution"", ""sending-off""]"
7945588d-0549-4b72-91eb-d24c236a06f4,"[""score"", ""score"", ""score"", ""substitution"", ""sending-off"", ""substitution""]"
a244242b-b8e6-4cfe-a5e8-31060a3152e1,"[""sending-off"", ""sending-off"", ""foul"", ""sending-off"", ""caution""]"
657f3f52-8294-4d58-b732-3a63f5bc8a6b,"[""substitution"", ""sending-off"", ""substitution"", ""score"", ""score"", ""foul""]"
5d9dedd5-92f5-4cf7-9e3c-7a9f8c6aacdd,"[""score"", ""score"", ""foul"", ""foul"", ""sending-off"", ""substitution""]"
fb92c444-bd80-4376-a887-b369a705c453,"[""substitution"", ""foul"", ""caution"", ""sending-off"", ""caution"", ""substitution""]"
08b01aba-4b7b-41e7-8d0c-350ec0bf50a3,"[""caution"", ""caution"", ""sending-off"", ""caution"", ""sending-off"", ""caution""]"
8c7b2691-892b-447a-b0d4-3bb34cde318c,"[""sending-off"", ""foul"", ""score""]"
7840c418-d95a-4fee-bd9f-580006f4c003,"[""caution"", ""substitution"", ""foul""]"
ab5f395a-0422-4ecf-b6eb-673ee7683869,"[""foul"", ""substitution"", ""substitution""]"
0352b39a-c58d-462c-b425-0a814c1cc68b,"[""score"", ""substitution"", ""substitution""]"
862b8055-430f-4535-825c-6de5916ddb54,"[""sending-off"", ""foul"", ""score"", ""substitution""]"
ea44bdf1-4f24-497b-929b-81d308f78e98,"[""caution"", ""caution"", ""substitution"", ""score"", ""score"", ""foul""]"
6161d4d0-e545-4784-b6af-4e3fbcec25c5,"[""caution"", ""foul"", ""score"", ""foul""]"
f963d800-4115-4425-8507-71379bdc930d,"[""score"", ""sending-off"", ""sending-off"", ""substitution"", ""foul""]"
ec47a003-b5ad-4871-be9c-9f70929f7ece,"[""foul"", ""caution"", ""score"", ""foul""]"
000299ec-a9cd-46c7-97f2-41dcba408dd3,"[""caution"", ""score"", ""sending-off""]"
5d2f4bfe-e7e5-4500-b51e-0ad85b9992f8,"[""foul"", ""score"", ""caution"", ""foul"", ""sending-off""]"
bf595e3b-f473-4d50-9d46-1b8b85534efa,"[""foul"", ""sending-off"", ""caution"", ""sending-off"", ""substitution"", ""sending-off""]"
f8742751-ef8b-4884-9749-aaf45130aab8,"[""score"", ""caution"", ""score"", ""score""]"
bd7789cb-3264-41c1-840b-7ac07b44af1b,"[""sending-off"", ""sending-off"", ""score"", ""caution"", ""caution"", ""substitution""]"
8da1c5ca-326e-4de8-9054-bfb65b562ed4,"[""caution"", ""sending-off"", ""substitution""]"
86c06748-d5c8-4b9c-b200-84c9840a6d03,"[""score"", ""score"", ""sending-off"", ""caution"", ""foul"", ""sending-off""]"
a555cc25-0820-4c15-a71f-956cdb304938,"[""substitution"", ""sending-off"", ""substitution"", ""caution"", ""caution""]"
e0dee496-3d31-43d5-a03a-7c66461f5eb5,"[""caution"", ""score"", ""caution"", ""score"", ""foul""]"
a5298baf-d3b6-4182-81dc-360e7f96c97c,"[""foul"", ""substitution"", ""sending-off"", ""sending-off""]"
9b762a91-15ed-492e-bc45-200d68a0f715,"[""sending-off"", ""sending-off"", ""sending-off"", ""foul""]"
5e5424c4-a311-4e6f-a72b-2ec4e1aa4b20,"[""caution"", ""substitution"", ""sending-off""]"
a3a3c424-c655-468a-87e0-3c50541addfd,"[""caution"", ""score"", ""caution"", ""sending-off""]"
dd0d6510-6429-458e-9ab1-b9156a972588,"[""sending-off"", ""score"", ""caution"", ""caution"", ""sending-off""]"
dfa5b3d2-9e0d-426e-a200-44c062dd2631,"[""caution"", ""caution"", ""substitution"", ""foul"", ""substitution""]"
c1fe162e-a5f0-43bc-8b12-5e94336f5f2b,"[""foul"", ""score"", ""substitution"", ""substitution"", ""substitution""]"
ff9a7104-379e-4c96-bcf5-3338384c383b,"[""caution"", ""score"", ""score"", ""score"", ""caution"", ""foul""]"
07ad400a-4dd6-42a3-9ea2-ea30f1621cbd,"[""caution"", ""substitution"", ""caution"", ""substitution""]"
0b2fa327-28f1-4c1a-8d0b-c2843d846bdf,"[""foul"", ""score"", ""substitution"", ""caution"", ""foul""]"
a797ee07-f487-4543-9632-cdd3dad24fae,"[""score"", ""caution"", ""substitution""]"
53fb223c-fd0c-4a81-940b-99d551e6027f,"[""foul"", ""foul"", ""score"", ""caution"", ""sending-off"", ""sending-off""]"
24eb831a-86bd-4655-9141-0aa961e2bcac,"[""caution"", ""substitution"", ""foul"", ""caution"", ""sending-off"", ""foul""]"
1bcf284d-d3ef-4260-9832-2e3a12d81c2f,"[""sending-off"", ""sending-off"", ""foul""]"
5e3adf9a-238f-4a10-aed6-f1c4e573409b,"[""substitution"", ""substitution"", ""score""]"
0a5242c3-c5d3-4397-b4f2-8f186acfa6c0,"[""foul"", ""substitution"", ""foul"", ""score"", ""sending-off""]"
dfcbb9bc-12f5-473c-9251-5dfcef007c78,"[""score"", ""sending-off"", ""sending-off"", ""sending-off""]"
0ad65c2f-d0ba-42cc-99e6-43900fd2ba76,"[""score"", ""sending-off"", ""caution"", ""score"", ""score""]"
d4105d32-7c25-498c-a456-2af31f57840d,"[""score"", ""foul"", ""substitution""]"
deadd4e6-1d31-47f0-9772-faf9f5d89abb,"[""caution"", ""foul"", ""substitution"", ""substitution""]"
3a942511-9636-4199-9735-0e6b3a424cdf,"[""score"", ""foul"", ""substitution"", ""foul""]"
cabd7e0a-1a09-405b-bd44-47b447facd6f,"[""sending-off"", ""score"", ""sending-off"", ""caution"", ""foul"", ""substitution""]"
c2162c05-6a2f-4d31-8e78-c395861301eb,"[""caution"", ""sending-off"", ""foul"", ""substitution"", ""caution""]"
e90c65a6-acde-4f58-9fc9-8f8ddf7497a4,"[""sending-off"", ""foul"", ""score"", ""substitution""]"
857e0c28-d422-4f9e-9aff-05df2e0568a4,"[""caution"", ""substitution"", ""foul"", ""foul""]"
3507116c-5b59-42a5-b6f4-3851b0fb85c5,"[""caution"", ""score"", ""score"", ""caution""]"
8fb95233-9f23-429d-995f-4b7a0318aa9a,"[""foul"", ""sending-off"", ""caution"", ""sending-off"", ""caution"", ""score""]"
1e5f71e4-ab3c-45aa-b086-428906bde38e,"[""sending-off"", ""foul"", ""score"", ""foul"", ""sending-off"", ""caution""]"
6a010530-4641-4e1b-9f3d-31c28299c812,"[""foul"", ""foul"", ""substitution"", ""score"", ""score""]"
f4988f15-4c84-444b-86d7-f17f0d2197d5,"[""caution"", ""score"", ""foul""]"
4f3cbc39-776f-481b-a119-6fc5d79da342,"[""sending-off"", ""score"", ""sending-off"", ""caution""]"
5bdbdcdc-5a52-4a4a-8740-18f3ab7a1cc2,"[""score"", ""sending-off"", ""sending-off"", ""foul""]"
1b3faddb-08ef-4bca-9527-257dad3bf64f,"[""caution"", ""sending-off"", ""caution"", ""caution"", ""foul"", ""substitution""]"
a7c70645-28b0-41ce-a702-5406c3200214,"[""sending-off"", ""sending-off"", ""caution"", ""sending-off"", ""score""]"
53270d93-0453-49c5-a151-b65e1e34bbc7,"[""sending-off"", ""foul"", ""caution""]"
26c91421-7cd8-4afe-94d1-3c005d795ce8,"[""caution"", ""foul"", ""sending-off"", ""score"", ""foul""]"
acb415ae-9b08-4abd-a529-bd9c3301cd56,"[""sending-off"", ""foul"", ""substitution"", ""score"", ""caution"", ""score""]"
94703555-e4b6-4a7d-9353-86149261e6e2,"[""sending-off"", ""foul"", ""substitution"", ""caution"", ""score"", ""substitution""]"
54d4b1ed-f109-430f-9c60-0619b8e068a0,"[""sending-off"", ""sending-off"", ""foul"", ""foul"", ""score""]"
3dcc2dc0-576a-4777-9941-ccd759973822,"[""substitution"", ""caution"", ""score"", ""foul""]"
ab0ba996-27b1-45a5-9796-f4ae2d2d6e95,"[""foul"", ""substitution"", ""foul"", ""sending-off"", ""foul"", ""substitution""]"
7b3db8f2-cf61-4965-a3b2-10c611610b39,"[""caution"", ""score"", ""caution"", ""sending-off"", ""sending-off"", ""sending-off""]"
11d6fa60-6856-45c4-89ad-02fe7837152e,"[""sending-off"", ""score"", ""substitution"", ""sending-off""]"
7e327d89-94f2-4276-a0f1-714857aeb033,"[""score"", ""score"", ""substitution"", ""foul""]"
6bf0c96e-8900-412f-bb1e-0edab6fdf809,"[""sending-off"", ""caution"", ""score"", ""caution"", ""foul""]"
eb50cd01-aebc-4b5c-a129-bec0569e0f77,"[""caution"", ""score"", ""score"", ""sending-off"", ""substitution""]"
55432f3a-f6f8-4c4b-a425-ced7a4809188,"[""score"", ""sending-off"", ""caution"", ""caution"", ""score"", ""score""]"
fd0e86bc-3a32-421f-9c6d-f5d49c4a46db,"[""sending-off"", ""caution"", ""substitution"", ""substitution"", ""score"", ""sending-off""]"
9038434f-cb97-4036-ae5c-f04183bcc7d6,"[""sending-off"", ""foul"", ""caution"", ""sending-off""]"
a852ace5-1dca-4060-ab1b-9945d1d6a101,"[""sending-off"", ""substitution"", ""sending-off"", ""foul"", ""substitution"", ""score""]"
7a0b7749-08d4-4768-ac1c-8fa6c32bf381,"[""foul"", ""sending-off"", ""foul"", ""score"", ""sending-off""]"
5d2e7f51-3b77-48e6-9b95-4262b6971c96,"[""substitution"", ""sending-off"", ""substitution""]"
6525b16c-13b6-4e57-86eb-0da0f9d35aef,"[""sending-off"", ""caution"", ""caution""]"
dc925558-984f-49ae-b1d2-16831b3b4d14,"[""foul"", ""caution"", ""score"", ""sending-off"", ""caution"", ""sending-off""]"
22691659-2e32-44a6-ba08-97290e6789b6,"[""score"", ""foul"", ""substitution""]"
0e5662a8-9c10-4514-81be-5601e0fa1f11,"[""substitution"", ""foul"", ""sending-off"", ""foul"", ""foul""]"
0c8f7084-9262-454c-a2e4-271840d08110,"[""substitution"", ""caution"", ""foul"", ""foul"", ""caution"", ""foul""]"
445481c7-b0c0-40eb-993b-471e5abae034,"[""caution"", ""caution"", ""sending-off"", ""substitution"", ""substitution""]"
e1ef932c-f440-41da-8b13-8788936a33d5,"[""score"", ""substitution"", ""substitution"", ""substitution"", ""foul"", ""score""]"
2942ee1d-3808-4928-9a98-a046517aaa68,"[""score"", ""substitution"", ""sending-off"", ""score"", ""substitution"", ""substitution""]"
29c92b87-b7ac-4d69-9fa8-10372ea7c786,"[""caution"", ""sending-off"", ""caution"", ""foul"", ""sending-off"", ""caution""]"
9e1a8b0e-1c2f-439e-ab88-a8b64f2d8517,"[""foul"", ""sending-off"", ""caution"", ""score""]"
7951d3fe-3788-4730-b95c-cbcff181a9c9,"[""sending-off"", ""caution"", ""sending-off"", ""caution"", ""substitution""]"
a68b8947-9401-4ccd-8a08-65b855fea002,"[""sending-off"", ""foul"", ""substitution"", ""sending-off"", ""score"", ""caution""]"
973a65bd-f071-4d1f-826b-3368db0e311f,"[""caution"", ""foul"", ""sending-off"", ""caution"", ""foul""]"
835d5222-3615-4c7c-a419-17cb6e04fc3a,"[""score"", ""sending-off"", ""caution""]"
8da32ebb-b7fc-49a2-bbd7-ba0db1e90f78,"[""score"", ""caution"", ""substitution"", ""substitution""]"
9dfbe2bf-5ecb-4754-bc15-dbbeb05f6014,"[""substitution"", ""foul"", ""foul"", ""caution"", ""sending-off""]"
c41a881d-1b9f-4b6a-b915-2785572d6a8a,"[""score"", ""caution"", ""substitution""]"
e5c97dcd-8954-4db8-b07b-7d2fc738838f,"[""caution"", ""caution"", ""sending-off""]"
db3aa663-227c-44f7-8647-8f2d3026f397,"[""substitution"", ""substitution"", ""score"", ""caution""]"
3e7726ab-fc21-499a-aea6-5e66a8cb276e,"[""substitution"", ""caution"", ""sending-off"", ""caution"", ""caution""]"
d28da651-6516-4e0c-84c7-1062918fe937,"[""sending-off"", ""foul"", ""substitution""]"
5a73ae74-4389-4692-97e7-56e514e33dbd,"[""sending-off"", ""score"", ""caution"", ""foul""]"
788e227f-d352-4baf-a4ab-0f0883f2ee2d,"[""foul"", ""caution"", ""score"", ""foul"", ""sending-off"", ""caution""]"
44797124-f9a2-4403-acbb-91f8eb2e87a1,"[""score"", ""sending-off"", ""caution"", ""foul"", ""substitution""]"
73840b31-acc3-43c8-b765-a2d514b2db90,"[""foul"", ""score"", ""score"", ""caution"", ""score"", ""substitution""]"
62912303-fd8c-4501-bafd-3ed4ac48bc5c,"[""sending-off"", ""caution"", ""sending-off""]"
b1b8569d-66bc-4368-853a-910cef7f23c8,"[""substitution"", ""foul"", ""foul""]"
2bdeb4e9-6228-47d1-8a46-80c35b0c5976,"[""sending-off"", ""foul"", ""foul"", ""substitution"", ""score""]"
fe6cd34b-d9a4-4c55-a745-177187c83998,"[""sending-off"", ""sending-off"", ""caution"", ""score""]"
af1eb56d-33da-470b-b6c1-946a6895c7ad,"[""score"", ""substitution"", ""sending-off"", ""foul"", ""sending-off"", ""score""]"
77fb61c9-ace9-497d-a05d-e5f9af6ca816,"[""caution"", ""foul"", ""caution"", ""substitution"", ""sending-off"", ""sending-off""]"
706650fc-e2e1-40e2-b979-a98ee7f7b37a,"[""caution"", ""foul"", ""caution"", ""score""]"
7150db47-8192-42c0-a6d6-a4e2fee4dd85,"[""foul"", ""sending-off"", ""caution"", ""substitution"", ""foul""]"
9b78e704-35af-46b7-bd80-b3378fa87be1,"[""foul"", ""substitution"", ""score"", ""foul"", ""foul"", ""caution""]"
79abe34c-3862-4d71-966b-615370cc8896,"[""substitution"", ""score"", ""substitution"", ""foul""]"
7da28bed-edc4-4263-a446-65defae09443,"[""score"", ""substitution"", ""substitution"", ""caution""]"
5f3034b8-8ec0-4006-a2b5-06289e4511e0,"[""score"", ""foul"", ""caution"", ""substitution""]"
66014aa7-c0e2-46e8-956a-93a891cd95ca,"[""score"", ""caution"", ""substitution"", ""foul""]"
2178ebc9-3b36-45e6-a386-627f55b036fc,"[""substitution"", ""foul"", ""caution""]"
f49cbf0d-4f7b-4551-ae91-390130ee5fff,"[""score"", ""caution"", ""foul"", ""substitution""]"
9c74194a-280e-47e3-9c05-2b672895cc5f,"[""foul"", ""substitution"", ""sending-off"", ""score"", ""foul""]"
bf097e27-7757-4b1e-b19f-52f858e4b6b7,"[""sending-off"", ""sending-off"", ""caution""]"
b9a01941-f04b-4ec0-a1f2-bba88fafe53d,"[""sending-off"", ""score"", ""substitution""]"
3b114b24-27e8-490a-b490-e667de69dddf,"[""score"", ""caution"", ""sending-off""]"
11aa510b-035b-4ab6-ba8e-e26f27141471,"[""foul"", ""sending-off"", ""sending-off""]"
98226ffb-851f-482f-81d2-873828df4bb9,"[""foul"", ""sending-off"", ""sending-off"", ""foul"", ""foul"", ""caution""]"
8a0f8239-04ac-4d37-b5dd-57f9801bd413,"[""foul"", ""substitution"", ""caution"", ""score""]"
027d2cf1-396d-4d80-b3b6-59b0c2f6f4df,"[""sending-off"", ""score"", ""score"", ""caution"", ""sending-off""]"
014b455c-ca93-47df-8ecd-327ed2106549,"[""foul"", ""foul"", ""score"", ""substitution"", ""sending-off"", ""sending-off""]"
a4bb52e2-aa1e-42bc-8783-e04fdb007c00,"[""sending-off"", ""caution"", ""sending-off"", ""sending-off""]"
ea7daf7d-0704-4124-915b-457f4a531125,"[""foul"", ""caution"", ""sending-off"", ""caution"", ""caution"", ""caution""]"
bb7e4747-f491-4a02-9a3f-7b5e942709a3,"[""sending-off"", ""foul"", ""foul"", ""foul""]"
f881ebf3-e146-4c45-9b29-8ec79ae3cc1b,"[""sending-off"", ""foul"", ""caution""]"
9ebfdc07-f024-4ac3-ab2c-e08dcdda0aae,"[""score"", ""foul"", ""score"", ""score""]"
aaee29b5-aab2-4e15-af84-dcce8bbeef8e,"[""foul"", ""sending-off"", ""caution"", ""sending-off"", ""foul""]"
f17bc4be-6e9a-4049-95cf-30a372c1f290,"[""score"", ""caution"", ""caution"", ""foul"", ""score""]"
